splice	8.68	9.57	splice	10.32	12.07
split	13.66	14.45	split	15.26	17.85
spoilsport	19.44	20.57	spoilsport	21.42	23.17
spoliation	24.70	25.79	spoliation	26.60	28.29
spontaneous	29.90	31.07	spontaneous	31.80	33.63
sport	35.24	35.95	sport	36.76	38.27
sportive	39.94	40.83	sportive	41.66	43.61
spout	45.16	45.95	spout	46.76	49.41
sprain	51.08	51.93	sprain	52.70	53.45
spree	55.08	55.87	spree	56.70	57.55
sprint	59.20	59.99	sprint	60.80	63.49
spur	65.08	65.87	spur	66.68	70.53
spurt	72.26	73.01	spurt	73.74	75.53
squabble	77.16	77.97	squabble	78.72	79.47
squall	81.08	81.91	squall	82.68	87.81
squalor	89.42	90.25	squalor	91.10	92.91
square	94.50	95.29	square	96.10	100.16
squat	100.96	101.84	squat	102.06	103.93
squeamish	105.54	106.53	squeamish	107.26	109.71
squeeze	111.30	112.25	squeeze	113.06	116.15
squelch	117.84	118.73	squelch	119.54	121.15
squint	122.80	123.59	squint	124.34	125.19
stab	126.84	127.71	stab	128.52	129.99
stagy	131.64	132.43	stagy	133.16	135.29
staid	136.86	137.73	staid	138.46	140.49
stain	142.18	143.03	stain	143.82	145.45
stale	147.02	147.83	stale	148.54	150.67
stammer	152.22	153.03	stammer	153.80	155.97
stampede	157.52	158.57	stampede	159.28	160.91
stanza	162.48	163.41	stanza	164.16	165.37
star-crossed	167.02	168.25	star-crossed	169.04	170.43
startle	172.04	172.77	startle	173.54	174.59
stationary	176.10	177.13	stationary	177.86	179.65
statuary	181.32	182.35	statuary	183.16	185.35
stature	187.00	187.81	stature	188.62	190.33
status	192.06	192.93	status	193.66	195.23
statutory	196.80	197.87	statutory	198.62	201.15
staunch	202.70	203.61	staunch	204.34	206.21
stealth	207.78	208.61	stealth	209.36	210.49
steep	212.22	212.99	steep	213.78	217.97
steer	219.52	220.31	steer	221.22	224.89
stench	226.58	227.51	stench	228.28	230.05
stentorian	231.72	232.93	stentorian	233.66	235.19
sterilize	236.94	238.05	sterilize	238.80	240.89
stickler	242.48	243.29	stickler	244.08	245.97
sticky	247.60	248.39	sticky	249.28	251.35
stiff	252.90	253.75	stiff	254.58	257.47
stifle	259.14	259.99	stifle	260.82	263.03
stigma	264.66	265.45	stigma	266.22	268.45
stigmatize	270.06	271.25	stigmatize	272.14	273.79
stimulant	275.54	276.55	stimulant	277.36	279.49
sting	281.14	281.93	sting	282.74	285.87
stinginess	287.36	288.39	stinginess	289.08	289.99
stipple	291.68	292.43	stipple	293.24	294.95
stipulation	296.60	297.73	stipulation	298.46	299.99
stir	301.64	302.35	stir	303.24	304.03
stitch	305.66	306.49	stitch	307.36	308.99
stock	310.64	311.51	stock	312.24	315.53
stodgy	317.24	318.07	stodgy	318.96	320.33
stoke	321.86	322.75	stoke	323.54	325.45
stolid	327.14	327.99	stolid	328.78	330.07
stomach	331.76	332.61	stomach	333.40	335.37
stonewall	337.02	338.05	stonewall	338.92	341.77
stooge	343.30	344.27	stooge	345.10	348.15
stoop	349.72	350.51	stoop	351.30	353.85
stouthearted	355.52	356.59	stouthearted	357.40	359.41
straggle	361.04	361.85	straggle	362.60	365.39
straightforward	366.96	368.15	straightforward	368.88	373.01
straiten	374.68	375.47	straiten	376.26	378.31
strand	379.88	380.75	strand	381.60	383.95
stranded	385.60	386.47	stranded	387.28	389.73
strangulation	391.40	392.53	strangulation	393.40	395.05
